ID,Joke
149,"i was arrested for indecent exposure, but, sadly, released for lack of evidence."
150,i only chill with professional alcoholics!!!
151,i hate arrogant people....it's like they think they're better than me...no one is better than me!
152,i always clench up before i drive into a tunnel because i'm afraid wile e. coyote might have just drawn it on there.
153,"if my ceiling fan could hold my weight, i would never be bored again."
154,a cure has been found for homosexuality. lip balm  you rub it on your arsehole and it keeps the chaps away.
155,"obama this, bush that... how about if you're still unemployed after 3+ years you might just be a loser?"
156,"if i ever get to an age where the music from the ice cream truck doesn't make me excited, pull the plug."
157,i've been struggling with my laziness. i can't decide if i should sit down and do nothing or lie down and do nothing.
158,"just found my birth certificate. ugh, it's official: i've gained weight."
159,finally got around to shaving my crotch after a few years. its nice to see my knees again.
160,i just violated myself in the shower. i didn't want to but rules are rules and i did drop the soap after all.
161,sometimes relationships last longer when facebook doesn't know about them.
162,i live in constant fear of accidentally mentioning something i only know about you because i've stalked you on the internet.
163,scientist believe that coworkers are the main reason why humans developed middle fingers.
164,"i'm shy at first, but once i'm comfortable with you get ready for some crazy s$it."
165,"baby on board* oh really? thanks for letting me know, i was about to ram into your car, but now i won't."
166,"""please punch in your account number, phone number and the last four digits of your social security, so i can transfer you so they can ask you for those same numbers again!"""
167,"do you enjoy interacting with people?"" ""nope"" ""great, you're hired!""  dmv interview process"
168,3 guys in colorado died protecting their girlfriends. i don't want to hear any girls saying that all guys are the same.
169,"homeless guy walking by this bar patio looked at me and said ""i'm your future,"" and i was like ""sweet, we have a cool beard."""
170,"it's funny how if you are a minority and commit a mass murder, you are either a terrorist, thug, or an illegal, but if you are white, then you have a mental disorder and misunderstood!"
171,politicians are the only people in the world who create problems and then campaign against them.
172,"ladies be careful, some of these guys don't want to get into your pants, they want to wear them."
173,"alcohol is the worst thing in the world... my friend had a lot last night and ended up saying  ""i love you"" to his own wife !!!"
174,just got a tattoo of my wife so when she pisses me off i can stab myself in the arm and watch that b%tch bleed.
175,"free tip: if a prostitute has nice teeth and carries a purse, she's a cop."
176,my wife is so much more attractive without having glasses on. that's why i always take mine off when i get home from work!
177,"i often ask myself ""what's wrong with me?"" and the answer is always ""you can't drink at work"""
178,it's not you.. it's me. and my inability to tolerate you any longer.
179,"a couple who had been together for 25yrs and raised 10 children was asked what the secret to staying together was. the wife replied ""many years ago we made an agreement that the first one to leave has to take all the children with them!!!"""
180,that awkward moment when you check the price tag and then slowly walk away.
181,a person automatically becomes ten times more attractive when you find out they like you!!!
182,"today i sent out a text saying, ""hey, i lost my phone, will you call it?"" 12 people called me...i need damn smarter friends."
183,the only thing i know about women: they don't like being told what to do unless they're naked.
184,how long after the first date should i wait before asking to get my bra & panties back?
185,"girls at parties are like parking spaces, if you're late all the good ones are gone, so when nobody's looking you stick it in the disabled one...."
186,some of you i'd like to take under my wing like a mother hen. others of you i'd like to trap between my thighs like the cougar that i am.
187,"i remember the days when i wasn't addicted to facebook...i also remember eating, sleeping, going out, returning calls, making eye contact,"
188,half of my facebook friends are still there solely because their life is a train wreck and it's entertaining.
189,the reason you can't go back after going black is because none of them have a car to take you back or a job to buy gas.
190,you don't give up your car when someone else drives drunk! so why would you give up your gun when someone else commits a crime with a gun?!
191,"husband-y r there torn condoms lying on sofa? wife-what? where? wife goes 2 find them & comes back angrily saying-will you stop calling our children ""torn condoms""?"
192,i tried exercise but i was allergic to it. my skin flushed and my heart raced. i got sweaty and short of breath. very dangerous.
193,charm me with your beauty and intelligence or just wait till i'm really drunk.
194,it's amazing how little information i need on someone before i decide i don't like them!!!
195,they say a woman's work is never done. maybe that's why they get paid less.
196,"thank god it's monday"" ~ my liver"
197,"who's this ""moderation"" people keep telling me to drink with?"
198,dudes in skinny jeans...there's no need for sex if you're already in her pants...
199,"things you need to know about me: 1- i'm lazy 2- hmm, one is enough"
200,you can't say happiness without saying penis. coincidence ? i think not...
201,if your legs open up faster than google's homepage. you are not girlfriend material.
202,my wife's menu had only two items: 1: eat it or 2: leave it.
203,"everyone wears the left shoe last, don't believe it? proof: when we wear 1 shoe, the other one is left!"
204,"i saw a woman wearing a sweat shirt with ""guess"" on it...so i said ""implants?"""
205,just because something is meant for kids doesn't mean it won't be amusing for adults. boobs are a great example.
206,the easiest way to confuse a woman is to give her a choice.
207,"can officially confirm that the way to a man's heart these days is not through beauty, food, sex, or alluringness of character, but merely the ability to seem not very interested in him."
208,you know what i like most about people? their pets.
209,no party would be complete without that creepy guy sitting in the corner.
210,"all a woman wants is a strong, confident, capable man who will wear whichever shirt she tells him to."
211,a spider crawled across my leg while i was driving and of course that fcuker survived the crash.
212,"sometimes i just want to slap the stupid out of people, but i'm worried it'd take up my entire day"
213,it is a scientific fact that the gravitational pull of a woman's cleavage on a man's eyes is too strong to be fought!!!
214,"if i stop my car for you to walk across the street, i better see some hustle out of you! knee's to chest b!tch , knee's to chest!!!"
215,i was so drunk last night at the bar. when i walked across the dance floor to get another drink i won the dance competition.
216,"if you think my status updates are ridiculous, you should see my life choices."
217,"better to be somebody's dog than everybody's bitch !!! every dog will have his day, remember ?"
218,some people are only alive in this world because i really don't want to be someone's b!tch in prison
219,"if you surround yourself with people who are full of drama, don't bitch if a shitstorm is always blowing through your life."
220,"i think instead of ""lol""....i'm gonna go with ""salts"" (smiled a little then stopped). its more truthful."
221,let me know when you're off your man-period!!!
222,"dear shirtless guy in his profile pic, you really want to impress girls? get a job & pose in front of your cubicle."
223,"my girlfriend spends every night in town, going from bar to bar. and she always f*cking finds me."
224,i went door-to-door today telling my neighbors i'm a registered sex offender so they'll keep their damn kids out of my yard.
225,terrorists are starting to get worried coz americans have now started to steal their jobs
226,"what's black and fills out welfare forms?? a pen, you jerk."
227,nobody should regret anything that made them smile.
228,toaster settings: 1) i do nothing. 2) i do nothing. 3) i set the bread on fire!
229,like if you remember what it was like to take a ton of pictures only to wait a week to find out they were useless.
230,studies show that your chances of getting murdered drop down significantly when you stfu and mind your own business.
231,it can get pretty exhausting hating as many people as i do in a day.
232,one day i hope i can afford an iphone like that girl in line in front of me with the food stamps!!!
233,bad gun! bad gun!....shame on you for making criminals do those bad things!.......and then those forks that are making me fat!!!
234,"oh i'm sorry, i forgot i only exist when you need something!"
235,if it wasn't for the gutter my mind would be homeless.
236,"rise and shine to all the beautiful women of the world. ugly women, don't get greedy, go back to sleep, your time is coming, at night."
237,"if you can't handle me at my drunkest, you don't deserve me when i'm sober."
238,what's the point of a high school reunion? i have facebook. i already know you got fat
239,the view of your bedroom is perfect from this tree!
240,you don't have to be crazy to be my friend!........but it sure helps!
241,"women sex toys cost money for batteries! men's sex toys cost money for rent, clothes, groceries....."
242,my dad worked on the roadwork's for twenty years before he got fired for stealing! at first i didn't believe it... but when i got home all the signs were there
243,"i don't understand why so many of you are unhappy. they sell vodka where you are, don't they?"
244,"yo mama's so ugly, she made a blind kid cry."
245,so i made up a new word: ask-hole; someone who constantly asks for your advise then does the opposite of what you told them.
246,"just remember that whatever you put up with, you end up with."
247,all my life i've wanted to learn to juggle. i just never had the balls to do it.
248,"when you're an olympic-size slut, every day is an opening ceremony."
249,"you call them ""cuss words."" i choose to call them ""sentence enhancers."""
250,"girls who say, ""a lot of guys are after me"", should keep in mind that low prices always attract many customers."
251,girls who are easy on the eyes are usually hard on the balls and wallet.
252,i've been asking god to send me my soul-mate. either he's not listening or we've got very different ideas on how she should look.
253,"i'm always on my ""best"" behavior...it just so happens my best behavior isn't very good!!"
254,"if women don't fool around, and men do fool around, who are the men fooling around with?"
255,"laughing at all the lovey dovey posts today from the same people who were so miserable in the exact same relationships that they felt it news worthy enough to post how miserable, unhappy and thoroughly disgusted they were with that exact same person"
256,"careful girls, fat guys just wanna get inside your pantries."
257,"every morning you have two choices: be productive and really shine, or pour some coffee, log in and start posting. hello, darlings."
258,during the opening olympic ceremony i thought the chinese uniforms looked pretty good!....and the ones worn by the chinese team weren't too bad either!!!
259,"man rule #6......men's olympic swimming events are the ""only"" i repeat ""only"" time speedo's are allowed!!!"
260,robert pattinson said kristen stewart humiliated him. then he added it was even more humiliating than being in twilight.
261,so this kristen stewart cheating stuff... still a better love story than twilight.
262,"kristen stew@rt is apologizing for ""everything she has done"", which i'm assuming includes the twilight series."
263,"aww i'm sorry you're mad the world doesn't revolve around you. here...let me pour you a nice, tall glass of get over it."
264,why is yolo popular all of a sudden? was there seriously a problem of people thinking we lived twice?
265,"it's so hot outside, i bet jehovah's witnesses are going to start telemarketing."
266,why is it the less money someone makes the better they are at reproducing?
267,"my girlfriend always keep her boobs pressed against my face when she asks me for expensive things.she calls it the ""booby trap"""
268,"debt collectors calling you? they don't call me anymore after i answer the phone ""homicide, detective smith speaking, please give me your full name and direct affiliation with the victim who's phone you've just called."" problem solved!"
269,just remember whatever you put up with you end up with!
270,nothing more uncomfortable than a girl with a lazy eye looking up at you while giving you head.
271,someone should invent padded underwear for men to get back at women for wearing pushup bras
272,"my wife always compliments me after an argument. ""i couldn't have married a bigger d!ck"""
273,"just found $4 on the ground. well, more like $2.40 after my ex wife claims her share"
274,statistics never show how many accidents each year are the direct result of a guy checking out some chick's ass.
275,"willow smith is 11 years old and has a tongue piercing, half of her hair shaved off, and is claiming to be bisexual? sounds like somebody needs to move in with their auntie and uncle in bel-air."
276,shopping for a minivan at a car show while you're married is like going to a strip club and looking at the dj.
277,"just because you can't dance, doesn't mean you shouldn't dance! *this fb status had been approved and paid for by alcohol"
278,"apparently, ""i had an interview with a better company"" is not an acceptable reason for being late for work."
279,never met a teenager driving a luxury car that i didn't hate.
280,"i don't have a summer home, but i do have several different email addresses."
281,"i don't drink water, unless it's been through a brewery first."
282,i hate it when i remove myself from around people to fart in peace and they follow me right after i have release a big one.
283,"when i have complicated problems i always ask myself, what would my imaginary wife do? and then i end up buying myself cupcakes, and shoes."
284,all men approve of premarital sex......until they have a daughter.
285,"i wake up easy most of the time, but every now and then, i wake up hard."
286,there's no place like home. (to poop)
287,"a woman has sued a hospital, stating that, after recent treatment, her husband had lost interest in sex. the doctors replied: all we did was correct his eyesight'"
288,"its no longer the little birdy that told you something. now days its ""i seen it on facebook."""
289,i can see smoke on the horizon. god i hope it's rest of monday burning to the ground
290,everyone has at least one friend who treats their facebook status like their therapist.
291,people with a sense of humor are so much easier to talk to.
292,"world population:7,018,521,683....just in case some one starts feeling too important"
293,"""what doesn't kill you makes you smaller!"" -ask super mario"
294,"china is now entering sperm as contestants in olympic swimming events, claiming they are of age."
295,is it so wrong to bang on your neighbor's door at 2am and ask them to reset their modem?
296,"we have three types of friends in life: friends for a reason, friends for a season, and friends for a lifetime."
297,life is like photography  we develop from the negatives.
298,santa has elves. america has china.
299,yelling someone's name in different voices until they finally hear you
300,"life is not a problem to be solved, but a reality to be experienced."
301,i would like to apologize to all my american friends for the power blackout in india. electricity is now restored and your customer service & tech support is now up & running.
302,india's population before the blackout was 1.2 billion....after the blackout it's supposed to grow by another 300 million:)
303,the obama administration just created 100 million jobs @ dell and comcast by cutting power in india.
304,"i wrote a status about unemployment earlier, but didn't post it. it needs some work."
305,i don't take my wallet to work because i'm afraid someone will steal it while i'm sleeping.
306,"i love you, but i'm not in ""change my relationship status on fb"" love with you"
307,"ladies, if you get in an argument with a guy and you have no chance of winning, start playing with your boobs. trust me on this one."
308,"whenever someone says to me ""you look so familiar, where do i know you from?"" i say, ""do you watch porn?"""
309,husband: let's try a different position tonight. wife: that's a good idea. you stand by the ironing board while i sit on the sofa and fart.
310,"they say love is more important than money. b!tch, have you ever tried paying your bills with a hug?!"
311,sunglasses were invented so you can stare at me while you're with your girlfriend.
312,the people who wear bluetooth headsets always look like the people least likely to ever receive phone calls.
313,"some people dream of success, others are awake & work hard at it."
314,"best way to deal with high school bullies: grow up to be smarter, richer and better looking than them and then add them on facebook."
315,"saw that poland just won the country's first gold metal.... they were so happy, they had it bronzed!"
316,"here's a lesson that no matter how many times i learn it, i always forget: when a woman asks you for your opinion about something, she doesn't actually want your opinion; she just wants to hear her opinion said again with a deeper voice."
317,"let me in, let me in, let me in! i need to go back out again!-my dog!"
318,right now the united states and china are tied in total olympic medals! of course we trail in gold medals because every time we win one we have to turn it over to china to pay our debt!!!
319,"my anti-social behavior reached a new high today when i was un-invited to a wedding, and it made my day."
320,"gymnasts used to look tiny and cute, now they look like they'll kick your @ss in a bar fight."
321,stopped by the apple store to see if they have a better phone than the samsung galaxy s3......ilaughed
322,"olympic gymnast: jumps 20 feet in the air, defies all laws of physics, does 10 backflips, defeats voldemort, comes back down and lands perfectly on the balance beam while fireworks go off in the background. me: i fall on face as i try putting my socks on."
323,321.
324,"oh goodness it's olympic soccer. if i wanted to watch someone struggle to score for 90 minutes, i'd take some of my single friends to the bar."
325,they should make the female swimmers wear a tube top & thong then maybe i'd finish before they did.
326,"if you are living your life without giving an ""f"", you are living a li[ ]e."
327,"i tried cooking with wine tonight, after five glasses, i forgot why i was even in the kitchen"
328,i got mood poisoning. must have been something i hate.
329,word of the day exhaustipated...........just too tired to give a sh!t
330,"people nowadays take pictures, not for memories, but to post them on facebook and get comments."
331,everyone has that one friend who treats their facebook status like their therapist.
332,best part about staying up late = total absence of morning people.
333,don't ever change for anyone. nothing is worth compromising your beliefs. unless it's for money.
334,"you can find true happiness inside yourself! haha, almost had you. i'll meet you at the liquor store."
335,so you mean to tell me a stress ball isn't for throwing at people who stress you out?
336,husband: honey i bought the new gold olympic condoms... wfie: why not silver and come second for a change...?
337,"bought one of those tennis racket looking bug zappers today. my god, where have you been all my life. what fun! oooh, here comes the dog...."
338,pushed too hard against my eardrum with a q-tip and reset my brain.
339,i hate when i can't find a decent status update to steal.
340,"my misery loves vodka, and hates company."
341,"ladies; the ""juicy"" on the back of these shorts should really be on the front."
342,"the girlfriend left a note on the fridge ""it's not working, i can't take it anymore , i'm going to mothers "" i opened the fridge, the light came on, the beer was cold,,, what the hell is she talking about !?!?"
343,"i've been nominated for facebook's new award, most funny/best posts in 2013!.......in other news i lost my job, my wife, car, and all contact with the outside world!!!"
344,"i just read that stevie wonder is filing for divorce. i guess in the end, they just didn't share the same views!"
345,"best advice: be happy in front of people who don't like you, it kills them."
346,i bet women's trust issues with men started with a weatherman.
347,whatsapp..... person is typing... person is typing... person is typing... person is typing... person is typing... person is typing... person says: hi
348,"just remembering some of my elementary school days and chuckled when i remembered how sitting ""boy, girl, boy, girl"" used to be a punishment."
349,"i love when my friends help to identify themselves as technologically-retarded idiots by changing their status to: ""wow i can't believe that you can see who is viewing your profile!""..."
350,"if you don't know, please ask. if you don't agree, argue. if you don't like it, please say it. but don't sit there quiet and judge me."
351,asian pregnancy test: insert rubix cube into vagina. pull it out 30 seconds later. if its solved....... you are pregnant.
352,my level of maturity changes depending on who i'm with
353,scientists finally discovered how an elephant trumpets. maybe now they can get back to curing cancer...
354,don't stare at me during sex! i don't know you!
355,how does a person from new zealand find a sheep in tall grass? very satisfying.
356,"first olympic sailing result just in. gb have taken gold, australia have taken silver and somalia have taken the boat"
357,bowling is my favorite sport because you don't have to run and there's beer five feet away.
358,"i don't appreciate the trash talking chinese athletes saying ""we own you!"" to the u.s. team. let's leave our deficit out of this!"
359,my sex life is a lot like the olympic 100m final. i wait 4 years for it and it's over in less than 10 seconds.
360,"finally, track and field. where the men are men and the women are too..."
361,"even in the olympics, women's basketball is un-watchable."
362,"at least stevie wonder was faithful, he never saw any other women during his marriage."
363,"ladies, please. get a hold of yourselves. there's enough of me to disappoint all of you."
364,"stay away from a place called, ""farm fresh restaurant"". i ordered the chicken soup. a rooster walked up and teabagged his ball$ in a hot bowl of water at my table."
365,"sitting on the toilet this morning, i was reminded of my first divorce. at first i thought it had been a clean break, but then it got messy and there was lots of paperwork."
366,"i just took a poop so black, i sent an instagram of it to kim kardashian and she asked what team it plays for"
367,perhaps the greatest fashion revolution was moving the pads from the shoulder to the bras
368,"awe yeah,,, i just washed my dog with axe body wash... he's gonna to get all da b!tches"
369,i walked past a lady in her car with convertible down. she locked the door out of fear. so i smacked her in the back of the head & ran way
370,"if the sheets are still on the bed when it's over, you're doing it wrong."
371,religion  because thinking for yourself is hard.
372,"i told her she has a nice ass. as a lady, she looked at me like my mom didn't raise me right. but we all know she'll smile about it in the ladies room."
373,i once won an argument with a woman...in this dream i had.
374,i just pictured my life.....and there isn't room for you in the frame.
375,second chances: when it just didn't hurt enough the first time.
376,i hope the olympics has taught kids and parents that in real life you do not get a trophy just for participating.
377,"scientists say the universe is made up of protons, neutrons and electrons.. they forgot to mention morons.."
378,my pet peeve: ketchup bottle precum
379,"some people look for a perfect relationship, but all i want is a cheeseburger that looks like the ones on commercials!"
380,the world is made up of kids who can't wait to grow up...and adults who wish they hadn't.
381,a walk of shame is always sad. don't make it worse by adding the sound of flip flops to it.
382,"friendships must be built on a solid foundation of alcohol, sarcasm, inappropriateness, and shenanigans."
383,i wanted to stop for mcdonald's this morning but the line was too wide.
384,"""i wish there was a more convenient way to stalk others""- the phrase that started facebook"
385,the inventor of the doorbell obviously did not own a dog.
386,playing frisbee with a five year old is amazingly similar to just running after a frisbee.
387,i bet homeless people think we're making fun of them when we go camping.
